PROVIDER_ID,DEACTIVATION_YEAR,STATE
1770887283,,NJ
1962020560,,IL
1942543582,,AR
1790076412,,NC
1780180851,,IL
1629575345,,NE
1649777921,,KY
1801448279,,NY
1962068338,,AL
1942504279,,DC
1487936886,,MI
1962785212,,AE
1720625577,,CA
1205816469,2023,
1457915969,,CA
1437714805,,WI
1093372963,,MT
1982870069,,MA
1184702078,,IL
1215015953,,CA
1346522752,,WA
1881771798,,CA
1407474257,,IN
1932727666,,FL
1689917288,,IL
1609894534,,CA
1063580801,,IL
1447328885,,OH
1598833840,,AZ
1730257056,2022,
1154638872,,TX
1992827851,,ME
1528180304,2020,
1952563280,,TX
1326200320,,HI
1477716959,,VA
1235392689,,AL
1477510527,2023,
1093978918,,MS
1013171883,,MD
1245493618,,AP
1508029489,,PA
1932363264,,WA
1952565921,,NY
1093979007,,OR
1679738538,,AR
1083879696,,FL
1427214121,,PA
1053559211,,SC
1245478320,,TX
1750529525,,FL
1265671507,,MI
1346489580,,SC
1962641142,,NY
1164662714,,CA
1548400195,,NJ
1508068305,,SD
1689065377,,ID
1811918618,,CT
1720295082,,AR
1154489227,,VA
1972671170,,NJ
1649373663,,WA
1326006784,,MI
1285692673,,FL
1609834290,,OH
1396703054,,PA
1992763460,,PA
1326169657,,AZ
1265695621,,NJ
1386807626,,AL
1811151210,,CO
1851556286,,MA
1679739684,,NM
1467618181,,NY
1184880585,,FL
1144486390,,CA
1760620280,,NC
1043458086,,CA
1508004110,,AZ
1639318611,,PA
1528260940,,IL
1588041016,,LA
1093738171,,GA
1609890698,,CT
1902974694,,CT
1760550032,,OH
1659439602,,CA
1013085455,,PA
1982772257,2022,
1306251467,,MO
1992763650,,FL
1639291578,,FL
1750543849,,MI
1053574533,,CT
1003079146,,NY
1588827489,,PA
1447414776,,TX
1306000666,,KY
1700042827,,AZ
1679739148,,IL
1487891289,,PA
1710125984,,FL
1558509299,,MA
1619116019,,CO
1891935466,,MA
1083854558,,CA
1821290982,,TX
1760869200,,MN
1255547055,,TX
1366659229,,AL
1730257585,,WA
1538237045,,MD
1740358381,,MI
1073681367,,AZ
1881009892,,CO
1588622260,,OH
1114985892,,CA
